reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
5bb48397-5931-49a2-b017-fbb17ef72a8a,Sikha Sarkar,Very nice,5,0,407.0.0.30.97,2023-05-04 09:38:28,,
7a352620-b5c4-4368-8e19-f7b30efb3c43,Silver shine,App hanging seeing notifications,1,1,413.0.0.30.104,2023-05-04 09:38:12,,
1e4e2493-42ac-4005-8fad-e4fac736d674,HonorView,Kohimarama I,5,0,412.0.0.22.115,2023-05-04 09:38:10,,
2040b53e-ff97-4dfe-b5cb-aeccd27e857c,SENOs sENOS,👍,5,0,412.0.0.22.115,2023-05-04 09:37:34,,
f500659a-591c-4243-b108-f24fbd60a428,Jhuma Barui,পাগলি পাগল,1,0,413.0.0.30.104,2023-05-04 09:37:31,,
3e10ff3d-797f-43a4-86ac-6d5951af4f23,Surya Das,Nice supar,4,0,412.0.0.22.115,2023-05-04 09:37:29,,
a0678638-5a34-4adc-8be7-ec1ba69678d6,ram gopal,N2w,2,0,332.0.0.23.111,2023-05-04 09:37:20,,
9b00efab-c82b-4895-8672-d6d628ffbe2e,Miguel A. Monge,By,5,0,413.0.0.30.104,2023-05-04 09:36:09,,
f1216239-8f54-4cde-9495-0bb933ac6c33,Praveen Nada,Super,5,0,365.0.0.30.112,2023-05-04 09:35:44,,
4a527590-0385-4ce5-95fc-784ec45a3627,Jahir Mondal,Facebook favourite apps good quality 🥰,5,3,412.0.0.22.115,2023-05-04 09:33:36,,
64fe0a15-c7f9-4b31-addd-b947dc856377,Adam Scott,Simply horrible I watch everyone around get notifications fine talk people fine yet I able I dont know guys suck youve chosen make harder average person use app made easy hackers get money hungry AD revenue tell Im wrong nobody looks anyways,1,0,412.0.0.22.115,2023-05-04 09:33:12,,
78042751-4885-4e90-9e25-23d1ea4e5fd4,Oman Nizwa,Good,5,0,394.1.0.51.107,2023-05-04 09:32:38,,
64e0334e-7980-408c-a05a-ba964bfeaefc,Madhu MA,Akash,4,0,,2023-05-04 09:32:32,,
4bdc86de-da7f-4601-baee-33abf2e3eb29,Ajay Bavriya,How tonight get details one going bed soon much sudden said money know 👆 👶 👧 I love get hold often good night baby 👧 going bed though right note Im going back home know 👆 👶 get hold much time phone 🔢 could family friends thes,1,0,81.0.0.22.70,2023-05-04 09:31:50,,
c456b3e4-d234-481f-9d19-d0d231d0f99c,Amit Chauhan,My facebook working Id gone log Facebook please repair app,1,0,,2023-05-04 09:31:30,,
4d3005c2-0256-4bbd-b761-542eec869087,Sohel Mia,Ok,5,0,412.0.0.22.115,2023-05-04 09:31:19,,
0b9c95c5-e0b1-4eb0-9665-39577f31d355,Sushil Chetry,Badiya,5,0,,2023-05-04 09:30:42,,
6436325e-3126-464e-9ca5-881179b2b5d5,CAmellia,Shitshistshitshit,1,0,412.0.0.22.115,2023-05-04 09:30:04,,
1e59dd4b-762e-4289-b9df-a79da0ed5ade,imransk Free fire,Fajal bhai,5,0,,2023-05-04 09:29:48,,
c50342e7-d275-41d7-9eda-8c69aebf6ea0,Mamata Mishra,Good,5,0,412.0.0.22.115,2023-05-04 09:29:46,,
46cf98fc-a4fb-42e9-9735-496dfb2c9edc,MD Masum Ali MD Masum Ali,This good 😊,5,0,413.0.0.30.104,2023-05-04 09:29:01,,
7d885938-2b95-415d-b3ca-3016c90a008b,Yousuf Ahmed,Masud rana,1,0,412.0.0.22.115,2023-05-04 09:28:27,,
8951a60a-fe10-4c83-a2eb-b667d31b8f8f,Abhinay 6391,Solved question factor,5,0,413.0.0.30.104,2023-05-04 09:27:53,,
63312d26-0725-4058-b1a7-1008bf87aafc,Shazu Khan,Helpfull,5,0,412.0.0.22.115,2023-05-04 09:26:56,,
3500f8a1-d8b0-4409-ab9a-1a7447d5b6ee,Raza Abbas,All friends meet,5,0,,2023-05-04 09:26:50,,
c650ddaa-fbd8-48fa-bda9-1ad94ad057e5,Nilmini Kumari,සපයයි 8සස89දද්‍ර්‍රඑදද,5,0,367.2.0.26.107,2023-05-04 09:25:59,,
63e5c7dd-9e77-46ff-ac5b-d7b27e27b846,Phyo Hlaing Win,Good work,4,0,,2023-05-04 09:24:46,,
7a3e8d83-e4a1-4c60-b1c6-7f95a227aa1b,Sajid Sajid,Facebook Good App😍,5,21,412.0.0.22.115,2023-05-04 09:24:34,,
4fe586d6-7b4e-477c-9c0c-4a64893a8f6e,Dyfhifici,Nice,5,0,,2023-05-04 09:24:15,,
02b94d62-9363-472b-a39b-4d6569123c1b,Nitish Kumar,Nice,5,0,,2023-05-04 09:24:12,,
d61ecabd-7b1c-42af-9a7b-af57eb3b3903,Avi Zev,Min uj UK j journey n MN ii huhmminin 8j j UK 8 u ok ku7 ii u ui,1,0,412.0.0.22.115,2023-05-04 09:24:05,,
3899507e-fdb5-4fba-a1f1-87a084b5947b,Minn Thura Aung,No music story,3,0,412.0.0.22.115,2023-05-04 09:24:04,,
942de7b8-04c6-42a7-98f9-95f101d29114,Rabin Magar,This app world best app,5,0,,2023-05-04 09:23:59,,
9ddc4e32-ad9a-40c2-b98b-2acdec9ef999,Abhishek Baba,Laif taime ashish,1,0,225.0.0.47.118,2023-05-04 09:23:21,,
5aa27e39-9a92-4c6b-93e5-a282b4f0bc48,Madan Deuba,Facebook important part life Im even going gym tonight,5,0,413.0.0.30.104,2023-05-04 09:20:16,,
